"","Date","Year","Month","Day_num","Day","DayNight","ParkID","game_result","opponent","home_away","bal_runs","bal_BA","bal_AB","bal_H","bal_doubles","bal_triples","bal_HR","bal_RBI","bal_sac_hits","bal_sac_fly","bal_HBP","bal_BB","bal_IBB","bal_hitters_K","bal_SB","bal_CS","bal_GDP","bal_LOB","bal_num_pitchers","bal_team_ER","bal_WP","bal_balks","bal_assists","bal_errors","bal_pass_balls","bal_double_play","bal_triple_play","opp_runs","opp_BA","opp_AB","opp_H","opp_doubles","opp_triples","opp_HR","opp_RBI","opp_sac_hits","opp_sac_fly","opp_HBP","opp_BB","opp_IBB","opp_hitters_K","opp_SB","opp_CS","opp_GDP","opp_LOB","opp_num_pitchers","opp_team_ER","opp_WP","opp_balks","opp_assists","opp_errors","opp_pass_balls","opp_douple_play","opp_triple_play","city","bird_season","lat","long","range_flag"
"1",20130601,"2013","06","01","Sat","D","BAL12","Loss","DET","Home",3,0.257,35,9,1,0,2,3,0,0,0,2,0,7,3,0,1,7,4,10,0,0,12,0,0,1,0,10,0.316,38,12,2,0,5,10,0,0,1,5,0,6,0,0,1,7,2,3,0,0,10,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"2",20130602,"2013","06","02","Sun","D","BAL12","Win","DET","Home",4,0.294,34,10,2,0,1,4,0,0,0,3,1,9,1,0,0,9,4,2,1,0,15,0,0,4,0,2,0.303,33,10,2,0,1,2,0,0,0,0,0,4,0,0,4,4,4,4,0,0,7,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"3",20130604,"2013","06","04","Tue","N","HOU03","Win","HOU","Away",4,0.222,36,8,2,0,1,2,0,0,0,0,0,7,2,0,0,5,3,1,1,0,11,0,0,2,0,1,0.167,30,5,0,0,1,1,0,0,1,2,0,11,1,0,2,5,3,2,1,0,8,2,0,0,0,"Houston","Breeding",29.7589382,-95.3676974,"Out of Range"
"4",20130605,"2013","06","05","Wed","N","HOU03","Loss","HOU","Away",7,0.342,38,13,3,1,2,7,0,1,0,4,0,8,0,0,1,9,4,11,0,0,9,0,0,0,0,11,0.389,36,14,2,0,6,11,0,0,0,4,0,9,0,1,0,5,5,7,1,0,13,0,0,1,0,"Houston","Breeding",29.7589382,-95.3676974,"Out of Range"
"5",20130606,"2013","06","06","Thu","D","HOU03","Win","HOU","Away",3,0.289,38,11,2,0,0,2,0,0,0,1,0,10,1,0,0,9,4,1,0,0,11,1,0,2,0,1,0.2,30,6,1,0,0,1,1,1,1,1,1,10,1,0,2,6,2,3,1,0,11,0,0,0,0,"Houston","Breeding",29.7589382,-95.3676974,"Out of Range"
"6",20130607,"2013","06","07","Fri","N","STP01","Loss","TBA","Away",1,0.071,28,2,1,0,0,1,0,0,1,3,0,5,0,0,1,4,3,2,0,0,10,0,0,0,0,2,0.2,30,6,1,0,1,2,0,0,0,2,0,4,1,0,0,6,3,1,1,0,8,0,0,1,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"7",20130608,"2013","06","08","Sat","D","STP01","Loss","TBA","Away",0,0.129,31,4,0,0,0,0,0,0,0,0,0,9,0,0,0,4,3,8,0,0,6,0,0,0,0,8,0.351,37,13,3,1,0,8,0,0,0,4,0,10,0,0,0,9,4,0,0,0,5,0,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"8",20130609,"2013","06","09","Sun","D","STP01","Win","TBA","Away",10,0.4,40,16,7,0,1,9,0,2,1,2,0,11,0,1,0,8,5,6,0,0,9,0,1,0,0,7,0.316,38,12,1,0,2,7,0,0,0,1,0,10,0,1,0,5,3,9,2,0,10,1,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"9",20130610,"2013","06","10","Mon","N","BAL12","Win","ANA","Home",4,0.241,29,7,0,0,1,3,0,1,0,1,0,3,1,0,0,3,4,3,0,0,13,0,0,1,0,3,0.229,35,8,0,0,2,3,0,0,0,3,0,4,0,0,1,8,2,4,0,0,10,1,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"10",20130611,"2013","06","11","Tue","N","BAL12","Win","ANA","Home",3,0.258,31,8,0,0,0,3,0,0,0,2,0,3,0,0,0,6,2,2,0,0,12,0,0,3,0,2,0.2,30,6,1,0,1,2,0,0,0,1,0,6,0,0,2,2,4,3,0,0,12,1,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
