"","Date","Year","Month","Day_num","Day","DayNight","ParkID","game_result","opponent","home_away","bal_runs","bal_BA","bal_AB","bal_H","bal_doubles","bal_triples","bal_HR","bal_RBI","bal_sac_hits","bal_sac_fly","bal_HBP","bal_BB","bal_IBB","bal_hitters_K","bal_SB","bal_CS","bal_GDP","bal_LOB","bal_num_pitchers","bal_team_ER","bal_WP","bal_balks","bal_assists","bal_errors","bal_pass_balls","bal_double_play","bal_triple_play","opp_runs","opp_BA","opp_AB","opp_H","opp_doubles","opp_triples","opp_HR","opp_RBI","opp_sac_hits","opp_sac_fly","opp_HBP","opp_BB","opp_IBB","opp_hitters_K","opp_SB","opp_CS","opp_GDP","opp_LOB","opp_num_pitchers","opp_team_ER","opp_WP","opp_balks","opp_assists","opp_errors","opp_pass_balls","opp_douple_play","opp_triple_play","city","bird_season","lat","long","range_flag"
"1",20180601,"2018","06","01","Fri","N","BAL12","Loss","NYA","Home",1,0.161,31,5,2,0,1,1,0,0,2,3,0,12,0,0,1,8,4,4,0,0,11,0,0,0,0,4,0.316,38,12,4,1,1,4,0,0,0,1,0,8,2,0,0,8,4,1,0,0,8,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"2",20180602,"2018","06","02","Sat","N","BAL12","Loss","NYA","Home",5,0.297,37,11,3,0,3,5,0,0,0,2,0,12,0,0,1,7,4,7,0,0,7,3,0,0,0,8,0.325,40,13,5,0,2,8,0,0,1,1,0,12,3,0,0,7,5,5,0,0,4,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"3",20180605,"2018","06","05","Tue","N","NYC20","Win","NYN","Away",2,0.207,29,6,0,0,0,2,1,1,0,2,0,7,1,0,2,4,4,1,1,0,5,1,0,1,0,1,0.103,29,3,1,0,0,1,0,1,0,3,0,9,0,0,1,5,3,2,0,0,11,0,0,2,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"4",20180606,"2018","06","06","Wed","D","NYC20","Win","NYN","Away",1,0.172,29,5,0,0,0,1,0,1,3,1,0,7,1,0,1,6,3,0,0,0,10,0,0,1,0,0,0.161,31,5,2,0,0,0,0,0,0,3,1,5,0,0,0,7,3,1,0,0,9,0,0,1,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"5",20180607,"2018","06","07","Thu","N","TOR02","Loss","TOR","Away",4,0.194,36,7,1,0,3,4,0,1,0,3,1,11,0,0,0,6,5,5,0,0,13,0,0,3,0,5,0.316,38,12,4,0,1,5,0,0,0,5,1,6,0,1,2,9,6,4,1,0,12,0,0,0,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"6",20180608,"2018","06","08","Fri","N","TOR02","Loss","TOR","Away",1,0.161,31,5,1,0,0,0,0,0,0,2,0,3,1,0,0,5,3,5,0,0,12,0,0,1,0,5,0.382,34,13,1,1,3,5,0,0,0,3,0,6,0,1,1,8,3,0,0,0,9,1,0,0,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"7",20180609,"2018","06","09","Sat","D","TOR02","Loss","TOR","Away",3,0.211,38,8,1,0,0,2,0,0,1,7,1,9,1,0,1,13,4,4,0,0,12,0,0,2,0,4,0.308,39,12,3,0,1,4,0,0,1,3,0,7,0,1,1,10,6,2,2,0,12,1,0,1,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"8",20180610,"2018","06","10","Sun","D","TOR02","Loss","TOR","Away",3,0.212,33,7,1,0,2,3,0,0,1,2,0,12,1,0,1,6,4,13,0,0,5,0,0,0,0,13,0.442,43,19,2,0,4,13,0,0,0,3,0,10,0,0,0,9,3,3,0,0,5,0,0,1,0,"Toronto","Breeding",43.6534817,-79.3839347,"In Range"
"9",20180611,"2018","06","11","Mon","N","BAL12","Loss","BOS","Home",0,0.122,41,5,1,0,0,0,0,0,1,7,0,14,2,0,0,13,4,2,1,0,10,0,0,1,0,2,0.154,39,6,1,0,0,2,0,2,1,4,0,12,1,0,1,8,6,0,0,0,11,0,1,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"10",20180612,"2018","06","12","Tue","N","BAL12","Loss","BOS","Home",4,0.289,38,11,1,0,1,4,0,0,0,6,0,8,0,0,1,13,5,6,1,1,7,0,0,2,0,6,0.281,32,9,0,0,2,5,0,0,1,10,1,7,0,0,2,10,5,4,0,0,10,2,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"11",20180613,"2018","06","13","Wed","D","BAL12","Loss","BOS","Home",1,0.133,30,4,1,0,0,1,0,1,1,5,0,9,1,0,0,9,5,5,1,0,10,2,0,2,0,5,0.273,33,9,0,0,2,5,0,1,1,4,0,8,0,1,2,7,3,1,0,0,10,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
