"","Date","Year","Month","Day_num","Day","DayNight","ParkID","game_result","opponent","home_away","bal_runs","bal_BA","bal_AB","bal_H","bal_doubles","bal_triples","bal_HR","bal_RBI","bal_sac_hits","bal_sac_fly","bal_HBP","bal_BB","bal_IBB","bal_hitters_K","bal_SB","bal_CS","bal_GDP","bal_LOB","bal_num_pitchers","bal_team_ER","bal_WP","bal_balks","bal_assists","bal_errors","bal_pass_balls","bal_double_play","bal_triple_play","opp_runs","opp_BA","opp_AB","opp_H","opp_doubles","opp_triples","opp_HR","opp_RBI","opp_sac_hits","opp_sac_fly","opp_HBP","opp_BB","opp_IBB","opp_hitters_K","opp_SB","opp_CS","opp_GDP","opp_LOB","opp_num_pitchers","opp_team_ER","opp_WP","opp_balks","opp_assists","opp_errors","opp_pass_balls","opp_douple_play","opp_triple_play","city","bird_season","lat","long","range_flag"
"1",20170601,"2017","06","01","Thu","N","BAL12","Win","BOS","Home",7,0.294,34,10,1,0,4,7,0,0,0,0,0,7,0,0,0,3,3,5,0,0,13,1,0,0,0,5,0.257,35,9,0,0,1,5,0,0,0,1,0,6,0,0,0,4,3,7,0,0,10,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"2",20170602,"2017","06","02","Fri","N","BAL12","Win","BOS","Home",3,0.281,32,9,1,0,2,3,0,0,0,1,0,7,0,0,0,6,4,2,0,0,7,0,0,0,0,2,0.133,30,4,1,0,1,2,0,0,0,1,0,8,0,1,0,2,4,3,0,0,6,1,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"3",20170603,"2017","06","03","Sat","N","BAL12","Loss","BOS","Home",2,0.212,33,7,1,0,1,2,0,0,0,2,0,10,0,0,2,6,4,5,0,0,13,0,0,2,0,5,0.265,34,9,4,0,1,5,1,0,0,3,1,6,0,0,2,6,3,2,0,0,9,0,1,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"4",20170604,"2017","06","04","Sun","D","BAL12","Loss","BOS","Home",3,0.257,35,9,5,0,0,3,0,0,0,1,0,11,2,0,2,6,3,5,0,0,11,1,0,0,0,7,0.257,35,9,1,0,2,5,0,0,0,5,0,7,2,0,0,6,4,3,1,0,8,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"5",20170606,"2017","06","06","Tue","N","BAL12","Win","PIT","Home",6,0.256,39,10,0,0,4,6,0,0,0,1,0,8,0,0,1,5,5,5,0,0,10,1,0,1,0,5,0.243,37,9,2,1,1,5,0,0,1,4,0,11,0,1,1,7,5,6,0,0,12,1,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"6",20170607,"2017","06","07","Wed","N","BAL12","Win","PIT","Home",9,0.278,36,10,2,0,3,9,0,2,0,7,0,9,0,0,3,5,6,6,1,0,10,0,0,2,0,6,0.311,45,14,2,0,1,6,0,0,0,4,0,9,2,0,1,10,7,9,0,0,12,1,0,3,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"7",20170608,"2017","06","08","Thu","N","WAS11","Loss","WAS","Away",1,0.129,31,4,1,0,0,1,0,0,0,0,0,15,0,0,0,3,3,6,0,0,6,1,0,0,0,6,0.314,35,11,2,0,1,6,0,1,0,4,1,11,5,0,0,10,3,1,0,0,7,0,0,0,0,"Washington, DC","Breeding",38.8950368,-77.0365427,"In Range"
"8",20170609,"2017","06","09","Fri","N","NYC21","Loss","NYA","Away",2,0.161,31,5,1,0,1,2,1,0,0,2,0,9,0,0,0,5,3,5,0,0,11,1,0,0,0,8,0.333,33,11,3,0,3,8,1,1,0,4,0,6,0,0,0,7,3,2,1,0,10,0,0,0,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"9",20170610,"2017","06","10","Sat","N","NYC21","Loss","NYA","Away",3,0.133,30,4,0,0,2,3,0,0,0,3,0,8,0,0,1,3,5,16,1,0,10,0,0,1,0,16,0.45,40,18,6,0,5,16,0,0,1,5,0,7,0,0,1,6,3,3,0,0,13,0,0,1,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"10",20170611,"2017","06","11","Sun","D","NYC21","Loss","NYA","Away",3,0.265,34,9,4,0,0,3,0,0,0,3,0,7,0,0,2,7,4,13,2,0,11,1,0,2,0,14,0.405,37,15,3,0,4,14,0,0,0,9,0,4,0,0,2,8,5,3,0,0,13,0,0,2,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"11",20170612,"2017","06","12","Mon","N","CHI12","Loss","CHA","Away",7,0.371,35,13,2,0,1,7,0,0,1,6,0,9,2,0,4,8,4,10,0,0,8,0,0,0,0,10,0.378,37,14,2,1,2,10,0,1,0,2,0,7,1,0,0,6,5,7,0,0,12,0,0,4,0,"Chicago","Breeding",41.8755616,-87.6244212,"In Range"
"12",20170613,"2017","06","13","Tue","N","CHI12","Loss","CHA","Away",1,0.281,32,9,2,0,0,1,1,0,0,2,0,7,0,0,2,7,3,6,0,0,14,0,0,1,0,6,0.258,31,8,1,0,1,6,0,0,1,4,0,1,0,0,1,6,4,1,1,0,12,1,0,2,0,"Chicago","Breeding",41.8755616,-87.6244212,"In Range"
"13",20170614,"2017","06","14","Wed","N","CHI12","Win","CHA","Away",10,0.325,40,13,3,0,1,9,0,0,0,2,0,7,0,0,0,5,4,5,0,0,6,2,0,1,0,6,0.286,35,10,1,0,2,5,0,1,1,3,0,6,0,0,0,7,4,7,0,0,9,1,0,0,0,"Chicago","Breeding",41.8755616,-87.6244212,"In Range"
"14",20170615,"2017","06","15","Thu","D","CHI12","Loss","CHA","Away",2,0.257,35,9,1,0,1,2,0,0,1,2,0,9,0,0,1,9,3,5,0,0,5,0,0,0,0,5,0.343,35,12,2,0,1,5,0,1,0,5,1,8,0,0,0,12,5,2,0,0,8,0,0,1,0,"Chicago","Breeding",41.8755616,-87.6244212,"In Range"
"15",20170616,"2017","06","16","Fri","N","BAL12","Loss","SLN","Home",2,0.172,29,5,1,0,1,2,0,1,0,3,0,11,0,0,2,4,3,11,0,0,11,0,0,2,0,11,0.395,38,15,1,0,5,11,0,1,0,4,0,10,0,0,1,5,3,2,0,0,10,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"16",20170617,"2017","06","17","Sat","D","BAL12","Win","SLN","Home",15,0.385,39,15,4,0,5,13,0,0,3,3,0,9,0,0,0,6,5,6,0,0,8,1,0,0,0,7,0.263,38,10,1,0,3,6,0,0,0,5,0,11,0,0,0,9,4,14,1,0,10,0,1,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"17",20170618,"2017","06","18","Sun","D","BAL12","Win","SLN","Home",8,0.333,33,11,1,2,4,8,0,1,1,2,0,8,0,0,1,5,4,5,0,0,10,0,0,1,0,5,0.194,31,6,0,0,4,5,0,0,0,5,0,4,0,1,1,4,5,8,1,0,8,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"18",20170619,"2017","06","19","Mon","N","BAL12","Loss","CLE","Home",0,0.1,30,3,0,0,0,0,0,0,0,0,0,11,0,0,0,3,4,11,1,0,5,2,0,1,0,12,0.386,44,17,7,1,2,11,0,1,1,6,1,5,0,0,1,13,1,0,0,0,9,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"19",20170620,"2017","06","20","Tue","N","BAL12","Win","CLE","Home",6,0.324,34,11,2,0,3,6,0,0,0,1,0,9,0,0,1,5,6,5,2,0,12,1,0,1,0,5,0.314,35,11,2,0,1,5,1,0,0,7,1,2,0,0,1,11,5,6,0,0,8,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"20",20170621,"2017","06","21","Wed","N","BAL12","Loss","CLE","Home",1,0.25,36,9,1,0,0,1,0,0,0,0,0,14,0,0,1,8,4,5,0,0,7,0,0,0,0,5,0.289,38,11,1,0,1,5,0,0,0,3,0,11,3,0,0,9,4,1,0,0,12,1,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"21",20170622,"2017","06","22","Thu","N","BAL12","Loss","CLE","Home",3,0.273,33,9,1,0,1,3,0,0,2,5,0,12,0,1,2,10,3,6,0,0,11,0,0,2,0,6,0.342,38,13,1,2,1,6,0,0,0,4,0,6,0,0,2,9,6,3,0,0,7,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"22",20170623,"2017","06","23","Fri","N","STP01","Loss","TBA","Away",5,0.278,36,10,2,0,0,4,0,0,0,2,0,5,0,0,2,6,4,12,0,0,6,2,2,0,0,15,0.314,35,11,2,1,3,14,0,2,1,8,0,5,0,0,0,7,2,4,0,0,7,1,0,2,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
