"","Date","Year","Month","Day_num","Day","DayNight","ParkID","game_result","opponent","home_away","bal_runs","bal_BA","bal_AB","bal_H","bal_doubles","bal_triples","bal_HR","bal_RBI","bal_sac_hits","bal_sac_fly","bal_HBP","bal_BB","bal_IBB","bal_hitters_K","bal_SB","bal_CS","bal_GDP","bal_LOB","bal_num_pitchers","bal_team_ER","bal_WP","bal_balks","bal_assists","bal_errors","bal_pass_balls","bal_double_play","bal_triple_play","opp_runs","opp_BA","opp_AB","opp_H","opp_doubles","opp_triples","opp_HR","opp_RBI","opp_sac_hits","opp_sac_fly","opp_HBP","opp_BB","opp_IBB","opp_hitters_K","opp_SB","opp_CS","opp_GDP","opp_LOB","opp_num_pitchers","opp_team_ER","opp_WP","opp_balks","opp_assists","opp_errors","opp_pass_balls","opp_douple_play","opp_triple_play","city","bird_season","lat","long","range_flag"
"1",20140601,"2014","06","01","Sun","D","HOU03","Win","HOU","Away",9,0.343,35,12,1,0,2,9,1,2,2,1,1,7,2,0,1,5,4,4,0,0,3,0,0,0,0,4,0.235,34,8,2,0,1,4,0,1,1,2,0,12,0,0,0,7,4,9,0,1,11,0,0,1,0,"Houston","Breeding",29.7589382,-95.3676974,"In Range"
"2",20140603,"2014","06","03","Tue","N","ARL02","Win","TEX","Away",8,0.405,42,17,2,0,2,8,0,0,2,2,0,4,0,0,2,11,4,3,0,0,10,0,0,1,0,3,0.226,31,7,1,1,2,3,1,1,0,5,0,7,0,0,1,8,6,8,0,0,9,0,0,2,0,"Dallas","Breeding",32.7762719,-96.7968559,"In Range"
"3",20140604,"2014","06","04","Wed","N","ARL02","Win","TEX","Away",6,0.351,37,13,1,0,2,6,0,1,0,7,0,4,0,1,1,12,4,5,0,0,10,1,0,2,0,5,0.306,36,11,1,0,2,5,0,0,1,2,0,9,0,0,2,7,5,4,0,0,13,2,0,1,0,"Dallas","Breeding",32.7762719,-96.7968559,"In Range"
"4",20140605,"2014","06","05","Thu","N","ARL02","Loss","TEX","Away",6,0.235,34,8,3,0,2,6,0,0,0,3,0,7,1,0,1,4,6,5,0,0,17,3,0,4,0,8,0.382,34,13,2,0,1,7,0,0,0,5,0,4,2,1,4,7,4,6,0,0,10,0,0,1,0,"Dallas","Breeding",32.7762719,-96.7968559,"In Range"
"5",20140606,"2014","06","06","Fri","N","BAL12","Loss","OAK","Home",3,0.317,41,13,1,0,2,3,1,0,0,1,1,9,0,1,1,7,5,3,0,0,10,1,0,2,0,4,0.238,42,10,3,0,2,4,0,0,1,2,0,11,2,0,0,8,5,3,0,0,12,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"6",20140607,"2014","06","07","Sat","N","BAL12","Win","OAK","Home",6,0.226,31,7,2,0,2,6,0,0,0,5,0,11,0,0,0,6,3,3,1,0,9,1,0,2,0,3,0.212,33,7,1,0,1,3,0,0,0,2,0,9,0,0,2,5,3,6,0,0,8,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"7",20140608,"2014","06","08","Sun","D","BAL12","Loss","OAK","Home",1,0.188,32,6,1,0,0,1,0,0,0,4,0,7,0,0,1,8,3,11,0,0,15,1,0,3,0,11,0.286,35,10,2,0,1,11,0,0,0,11,0,5,0,0,3,8,4,1,0,0,12,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"8",20140609,"2014","06","09","Mon","N","BAL12","Win","BOS","Home",4,0.258,31,8,0,0,3,4,0,0,0,1,0,8,0,0,1,4,2,0,0,0,7,0,0,0,0,0,0.103,29,3,2,0,0,0,0,0,0,3,0,6,0,1,0,5,2,4,0,0,9,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"9",20140610,"2014","06","10","Tue","N","BAL12","Loss","BOS","Home",0,0.071,28,2,0,0,0,0,0,0,0,1,0,9,0,0,0,2,3,1,0,0,10,1,0,2,0,1,0.235,34,8,0,0,0,1,0,0,0,3,0,4,0,0,2,9,4,0,0,0,7,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"10",20140611,"2014","06","11","Wed","N","BAL12","Win","BOS","Home",6,0.273,33,9,2,0,1,6,0,0,0,5,1,10,1,0,0,8,3,0,0,0,13,1,1,3,0,0,0.143,28,4,0,0,0,0,0,0,1,0,0,8,0,0,3,2,3,6,0,0,8,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"11",20140612,"2014","06","12","Thu","N","BAL12","Win","TOR","Home",4,0.29,31,9,3,0,1,4,2,0,0,3,0,6,0,0,0,8,4,2,0,0,13,0,0,2,0,2,0.226,31,7,2,0,0,2,1,0,0,4,0,6,1,0,1,7,3,4,0,0,7,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"12",20140613,"2014","06","13","Fri","N","BAL12","Loss","TOR","Home",0,0.257,35,9,2,0,0,0,0,0,1,0,0,7,0,0,1,9,3,3,1,0,16,1,0,2,0,4,0.138,29,4,0,0,1,3,0,0,0,6,0,3,0,1,2,4,3,0,0,0,6,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"13",20140614,"2014","06","14","Sat","D","BAL12","Win","TOR","Home",3,0.226,31,7,1,0,1,3,0,1,0,2,0,4,0,0,0,7,5,2,0,0,13,0,0,2,0,2,0.273,33,9,1,0,0,2,0,0,2,3,0,7,1,0,2,9,2,2,0,0,6,1,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"14",20140615,"2014","06","15","Sun","D","BAL12","Loss","TOR","Home",2,0.257,35,9,2,0,1,2,0,0,0,1,0,10,0,0,1,7,3,5,0,0,13,0,0,0,0,5,0.316,38,12,6,0,0,5,0,1,0,2,0,0,0,0,0,9,3,2,0,0,11,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"15",20140616,"2014","06","16","Mon","N","STP01","Loss","TBA","Away",4,0.235,34,8,1,0,2,4,1,0,0,3,0,9,0,0,0,7,3,5,0,0,5,0,0,0,0,5,0.281,32,9,3,0,3,5,1,0,0,3,0,5,0,0,0,7,6,4,0,0,6,0,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"16",20140617,"2014","06","17","Tue","N","STP01","Win","TBA","Away",7,0.229,35,8,3,0,2,6,0,0,1,4,2,9,0,0,0,6,5,5,0,0,13,1,1,1,0,5,0.297,37,11,3,0,2,5,0,1,0,2,1,8,0,0,1,8,5,7,1,0,5,0,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"17",20140618,"2014","06","18","Wed","D","STP01","Win","TBA","Away",2,0.2,35,7,2,0,1,2,0,0,1,4,0,6,0,0,0,11,3,0,1,0,10,1,0,2,0,0,0.161,31,5,2,0,0,0,0,0,0,1,0,8,0,0,1,5,4,1,0,0,9,2,0,0,0,"Tampa","Breeding",27.9477595,-82.458444,"Out of Range"
"18",20140620,"2014","06","20","Fri","N","NYC21","Loss","NYA","Away",3,0.25,36,9,2,0,0,3,2,0,0,2,1,10,0,0,0,10,4,5,0,0,9,0,0,1,0,5,0.314,35,11,2,0,1,5,0,0,0,7,0,4,3,1,0,11,5,2,0,0,5,2,0,0,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"19",20140621,"2014","06","21","Sat","D","NYC21","Win","NYA","Away",6,0.243,37,9,1,0,4,6,0,0,1,3,0,8,0,0,0,8,4,1,0,0,9,0,0,0,0,1,0.212,33,7,1,0,1,1,0,0,0,3,0,6,0,1,0,8,2,5,0,0,5,1,0,0,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"20",20140622,"2014","06","22","Sun","D","NYC21","Win","NYA","Away",8,0.324,37,12,2,0,2,8,0,1,0,3,1,7,0,0,1,6,2,0,0,0,16,1,0,1,0,0,0.133,30,4,2,0,0,0,0,0,1,4,0,3,0,0,1,8,3,8,0,0,7,2,0,1,0,"Buffalo","Breeding",42.8867166,-78.8783922,"In Range"
"21",20140623,"2014","06","23","Mon","N","BAL12","Win","CHA","Home",6,0.405,37,15,2,0,3,6,1,0,2,1,0,7,0,0,2,10,3,4,0,0,10,0,0,1,0,4,0.235,34,8,5,0,1,4,0,0,0,3,0,3,0,0,0,6,4,6,1,0,10,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"22",20140624,"2014","06","24","Tue","N","BAL12","Loss","CHA","Home",2,0.281,32,9,1,0,1,2,0,0,0,4,0,8,0,0,4,7,4,3,0,0,16,1,1,3,0,4,0.314,35,11,2,0,1,4,0,0,1,3,0,3,2,1,3,8,4,2,1,0,16,0,0,4,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"23",20140625,"2014","06","25","Wed","N","BAL12","Win","CHA","Home",5,0.279,43,12,0,0,1,4,0,0,0,3,1,6,0,0,2,8,7,4,0,0,15,0,0,1,0,4,0.244,45,11,3,1,1,4,0,0,1,4,1,12,2,0,1,10,6,5,2,0,13,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"24",20140627,"2014","06","27","Fri","D","BAL12","Loss","TBA","Home",2,0.103,29,3,0,0,1,2,0,0,0,4,0,9,0,0,2,4,3,5,1,0,11,0,0,1,0,5,0.273,33,9,4,0,0,5,0,0,1,4,0,7,0,2,1,6,4,2,2,0,10,1,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"25",20140627,"2014","06","27","Fri","N","BAL12","Win","TBA","Home",4,0.303,33,10,2,0,2,4,0,0,0,5,0,7,0,0,0,10,2,1,0,0,11,0,0,1,0,1,0.161,31,5,0,0,1,1,0,0,0,1,0,3,0,0,1,4,4,4,0,0,3,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"26",20140628,"2014","06","28","Sat","D","BAL12","Loss","TBA","Home",4,0.235,34,8,1,0,2,4,0,0,0,0,0,9,0,0,1,3,6,5,0,0,6,1,0,0,0,5,0.278,36,10,1,1,3,5,1,0,0,3,0,10,0,0,0,8,3,4,0,0,6,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"27",20140629,"2014","06","29","Sun","D","BAL12","Loss","TBA","Home",7,0.342,38,13,2,0,2,6,1,0,0,2,0,10,1,0,0,7,4,12,0,1,10,0,0,0,0,12,0.419,43,18,6,0,5,12,0,0,0,5,1,5,0,0,0,9,5,6,0,0,14,0,1,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"28",20140630,"2014","06","30","Mon","N","BAL12","Win","TEX","Home",7,0.294,34,10,1,0,4,7,0,1,0,4,0,4,0,0,1,8,2,0,0,0,10,1,0,0,0,1,0.129,31,4,2,0,0,0,0,0,0,2,0,9,0,1,0,5,4,7,0,0,8,2,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"29",20140701,"2014","07","01","Tue","N","BAL12","Win","TEX","Home",8,0.242,33,8,2,0,3,8,0,1,1,2,0,4,0,0,0,5,5,3,0,0,17,0,0,3,0,3,0.294,34,10,2,0,0,3,0,0,1,0,0,6,0,0,3,5,4,6,0,0,8,2,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"30",20140702,"2014","07","02","Wed","N","BAL12","Win","TEX","Home",6,0.267,30,8,0,0,2,6,0,1,0,5,1,5,0,0,1,6,4,3,0,0,9,1,0,0,0,4,0.242,33,8,2,0,0,4,1,0,0,4,1,7,0,1,0,8,4,6,1,1,8,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"31",20140703,"2014","07","03","Thu","N","BAL12","Win","TEX","Home",5,0.353,34,12,6,0,0,5,0,1,1,2,2,8,4,0,0,9,4,2,1,0,14,0,0,1,0,2,0.206,34,7,3,0,1,2,0,0,0,2,1,7,0,0,1,7,5,5,0,0,7,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"32",20140705,"2014","07","05","Sat","D","BOS07","Loss","BOS","Away",2,0.152,33,5,0,0,0,0,0,0,0,0,0,9,0,0,2,4,2,2,1,0,9,1,0,1,0,3,0.281,32,9,1,0,1,2,1,0,1,2,0,6,0,0,1,8,2,0,0,0,13,3,0,2,0,"Boston","Breeding",42.3554334,-71.060511,"In Range"
"33",20140705,"2014","07","05","Sat","N","BOS07","Win","BOS","Away",7,0.372,43,16,4,0,2,6,0,0,0,2,0,13,1,0,0,11,6,4,0,0,13,0,0,1,0,4,0.194,31,6,2,0,1,4,0,0,0,6,0,8,0,0,1,6,5,7,0,0,11,2,0,0,0,"Boston","Breeding",42.3554334,-71.060511,"In Range"
"34",20140706,"2014","07","06","Sun","D","BOS07","Win","BOS","Away",7,0.333,48,16,1,1,0,6,1,1,1,3,0,5,0,0,1,11,7,6,0,0,14,0,0,2,0,6,0.319,47,15,1,0,1,6,0,0,0,3,0,16,1,1,2,8,7,6,0,0,14,2,0,2,0,"Boston","Breeding",42.3554334,-71.060511,"In Range"
"35",20140707,"2014","07","07","Mon","N","WAS11","Win","WAS","Away",8,0.319,47,15,2,0,4,8,1,0,0,0,0,12,0,0,0,7,3,2,0,0,11,0,0,0,0,2,0.175,40,7,1,0,1,2,0,0,0,3,1,10,0,0,0,8,6,8,0,0,11,0,0,0,0,"Washington, DC","Breeding",38.8950368,-77.0365427,"In Range"
"36",20140709,"2014","07","09","Wed","N","BAL12","Loss","WAS","Home",2,0.219,32,7,0,0,1,2,0,0,1,2,0,4,0,0,2,6,3,6,0,0,6,0,0,0,0,6,0.212,33,7,2,0,3,6,0,1,0,3,0,5,1,0,0,4,3,2,1,0,14,0,0,2,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"37",20140710,"2014","07","10","Thu","N","BAL12","Win","WAS","Home",4,0.207,29,6,1,0,1,3,0,0,0,3,0,9,0,0,1,4,4,3,0,0,10,0,1,1,0,3,0.278,36,10,3,0,1,3,0,0,2,1,1,9,0,0,1,9,2,3,0,0,10,1,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"38",20140711,"2014","07","11","Fri","N","BAL12","Win","NYA","Home",3,0.156,32,5,1,0,0,2,0,1,3,0,0,7,0,0,0,5,3,2,0,0,9,0,0,0,0,2,0.189,37,7,2,0,2,2,0,0,1,1,0,6,0,0,0,7,3,3,3,0,11,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"39",20140712,"2014","07","12","Sat","D","BAL12","Loss","NYA","Home",0,0.161,31,5,0,0,0,0,0,0,0,2,0,12,1,0,1,6,3,3,1,0,10,0,0,0,0,3,0.265,34,9,2,0,0,3,0,0,0,4,1,5,0,0,0,8,4,0,0,0,10,0,0,1,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"40",20140713,"2014","07","13","Sun","N","BAL12","Win","NYA","Home",3,0.294,17,5,1,0,1,3,0,0,0,3,0,4,0,0,0,5,1,1,0,0,6,0,0,0,0,1,0.222,18,4,0,0,1,1,0,0,0,0,0,2,0,0,0,2,2,3,0,0,6,0,0,0,0,"Baltimore","Breeding",39.2908816,-76.610759,"In Range"
"41",20140718,"2014","07","18","Fri","N","OAK01","Loss","OAK","Away",4,0.233,30,7,0,0,2,4,0,0,3,1,0,4,0,1,3,3,3,5,1,0,3,0,0,0,0,5,0.226,31,7,1,0,2,5,0,0,0,1,0,8,0,0,0,3,3,4,0,0,13,0,0,3,0,"Oakland","Breeding",37.8044557,-122.271356,"Out of Range"
"42",20140719,"2014","07","19","Sat","N","OAK01","Win","OAK","Away",8,0.333,39,13,3,0,3,8,0,0,0,5,1,7,2,0,2,9,4,4,0,0,3,0,0,1,0,4,0.235,34,8,2,0,1,4,0,0,0,2,0,7,0,0,1,5,6,8,0,0,13,1,0,2,0,"Oakland","Breeding",37.8044557,-122.271356,"Out of Range"
"43",20140720,"2014","07","20","Sun","D","OAK01","Loss","OAK","Away",2,0.091,33,3,1,0,0,2,0,0,0,2,0,11,0,0,0,6,5,9,1,0,11,1,0,0,0,10,0.395,38,15,2,1,0,8,0,1,0,3,0,10,0,0,0,8,3,1,1,0,8,3,0,0,0,"Oakland","Breeding",37.8044557,-122.271356,"Out of Range"
